timestamp;temperatura;umidade;pressao;qualidade;luminosidade
2024-03-02T15:39:54-04:00;29,38;79,04;1004,68;36,25;100
2024-03-02T15:40:24-04:00;29,61;78,91;1004,68;36,02;100
2024-03-02T15:40:54-04:00;29,78;78,52;1004,66;35,84;100
2024-03-02T15:41:24-04:00;29,91;78,14;1004,65;35,75;100
2024-03-02T15:41:54-04:00;30,03;77,68;1004,66;35,72;100
2024-03-02T15:42:24-04:00;30,17;77;1004,66;35,72;100
2024-03-02T15:42:54-04:00;30,31;76,36;1004,66;35,44;100
2024-03-02T15:43:24-04:00;30,45;75,95;1004,67;35,3;100
2024-03-02T15:43:54-04:00;30,59;75,34;1004,67;35,16;100
2024-03-02T15:44:24-04:00;30,71;75,74;1004,68;35,07;100
2024-03-02T15:44:54-04:00;30,76;75,45;1004,69;35,05;100
2024-03-02T15:45:24-04:00;30,76;75,36;1004,69;35,35;100
2024-03-02T15:45:54-04:00;30,73;75,74;1004,69;35,33;100
2024-03-02T15:46:24-04:00;30,74;75,63;1004,69;35,44;100
2024-03-02T15:46:54-04:00;30,75;75,78;1004,68;35,33;100
2024-03-02T15:47:24-04:00;30,76;75,97;1004,67;35,41;100
2024-03-02T15:47:54-04:00;30,75;75,81;1004,67;35,58;100
2024-03-02T15:48:24-04:00;30,76;75,56;1004,66;35,64;100
2024-03-02T15:48:54-04:00;30,74;75,4;1004,64;35,75;100
2024-03-02T15:49:24-04:00;30,72;75,55;1004,63;35,7;100
2024-03-02T15:49:54-04:00;30,65;75,65;1004,61;36,13;100
2024-03-02T15:50:24-04:00;30,58;75,96;1004,59;36,1;100
2024-03-02T15:50:54-04:00;30,54;76,08;1004,57;36,19;100
2024-03-02T15:51:24-04:00;30,52;76,05;1004,55;36,13;100
2024-03-02T15:51:54-04:00;30,52;76;1004,54;36,28;100
2024-03-02T15:52:24-04:00;30,57;75,52;1004,53;36,22;100
2024-03-02T15:52:54-04:00;30,65;75,03;1004,51;36,13;100
2024-03-02T15:53:24-04:00;30,75;74,58;1004,51;35,99;100
2024-03-02T15:53:54-04:00;30,86;74,31;1004,5;35,9;100
2024-03-02T15:54:24-04:00;30,97;74,09;1004,5;35,81;100
2024-03-02T15:54:54-04:00;31,07;74;1004,49;35,55;100
2024-03-02T15:55:24-04:00;31,15;74;1004,46;35,5;100
2024-03-02T15:55:54-04:00;31,19;74,05;1004,45;35,64;100
2024-03-02T15:56:24-04:00;31,19;74,37;1004,43;35,67;100
2024-03-02T15:56:54-04:00;31,15;74,96;1004,41;35,81;100
2024-03-02T15:57:24-04:00;31,06;75,62;1004,38;35,99;100
2024-03-02T15:57:54-04:00;30,95;76,08;1004,37;36,19;100
2024-03-02T15:58:24-04:00;30,81;76,5;1004,34;36,43;100
2024-03-02T15:58:54-04:00;30,65;76,95;1004,31;36,64;100
2024-03-02T15:59:24-04:00;30,47;77,63;1004,29;37,07;100
2024-03-02T15:59:54-04:00;30,3;78,09;1004,27;37,38;100
2024-03-02T16:00:24-04:00;30,14;78,47;1004,26;37,58;100
2024-03-02T16:00:54-04:00;30,04;78,64;1004,24;37,61;100
2024-03-02T16:01:24-04:00;30;78,28;1004,23;37,58;100
2024-03-02T16:01:54-04:00;30,02;77,98;1004,21;37,7;100
2024-03-02T16:02:24-04:00;30,05;77,59;1004,19;37,51;100
2024-03-02T16:02:54-04:00;30,1;77,32;1004,18;37,45;100
2024-03-02T16:03:24-04:00;30,12;76,92;1004,16;37,58;100
2024-03-02T16:03:54-04:00;30,16;76,88;1004,14;37,48;100
2024-03-02T16:04:24-04:00;30,16;76,69;1004,12;37,42;100
2024-03-02T16:04:54-04:00;30,11;77,02;1004,1;37,61;100
2024-03-02T16:05:24-04:00;30,03;77,64;1004,08;37,58;100
2024-03-02T16:05:54-04:00;29,94;78,14;1004,06;37,96;100
2024-03-02T16:06:24-04:00;29,81;78,71;1004,03;38,03;100
2024-03-02T16:06:54-04:00;29,67;79,36;1004,01;38,59;100
2024-03-02T16:07:24-04:00;29,53;79,85;1003,98;38,52;100
2024-03-02T16:07:54-04:00;29,4;80,06;1003,95;38,86;100
2024-03-02T16:08:24-04:00;29,3;80,33;1003,92;39,34;100
2024-03-02T16:08:54-04:00;29,23;80,7;1003,89;39,24;100
2024-03-02T16:09:24-04:00;29,18;80,84;1003,87;39,34;100
2024-03-02T16:09:54-04:00;29,18;81;1003,86;39,24;100
2024-03-02T16:10:24-04:00;29,25;80,33;1003,85;38,93;100
2024-03-02T16:10:54-04:00;29,36;79,59;1003,85;38,72;100
2024-03-02T16:11:24-04:00;29,51;78,67;1003,84;38,39;100
2024-03-02T16:11:54-04:00;29,69;77,89;1003,84;38,12;100
2024-03-02T16:12:24-04:00;29,88;77,46;1003,84;37,64;100
2024-03-02T16:12:54-04:00;30,08;76,94;1003,84;37,29;100
2024-03-02T16:13:24-04:00;30,23;76,68;1003,85;37,2;100
2024-03-02T16:13:54-04:00;30,37;76,32;1003,85;37,01;100
2024-03-02T16:14:24-04:00;30,46;76,13;1003,86;36,82;100
2024-03-02T16:14:54-04:00;30,52;75,94;1003,86;36,95;100
2024-03-02T16:15:24-04:00;30,51;76,24;1003,87;37,1;100
2024-03-02T16:15:54-04:00;30,47;76,54;1003,88;37,26;100
2024-03-02T16:16:24-04:00;30,42;76,79;1003,89;37,2;100
2024-03-02T16:16:54-04:00;30,39;76,95;1003,9;37,23;100
2024-03-02T16:17:24-04:00;30,35;76,99;1003,92;37,35;100
2024-03-02T16:17:54-04:00;30,31;76,99;1003,93;37,45;100
2024-03-02T16:18:24-04:00;30,3;76,96;1003,93;37,38;100
2024-03-02T16:18:54-04:00;30,27;77,09;1003,94;37,45;100
2024-03-02T16:19:24-04:00;30,24;77,13;1003,94;37,45;100
2024-03-02T16:19:54-04:00;30,18;77,33;1003,95;37,54;100
2024-03-02T16:20:24-04:00;30,11;77,63;1003,97;37,58;100
2024-03-02T16:20:54-04:00;30,03;77,92;1003,98;37,67;100
2024-03-02T16:21:24-04:00;29,94;78,01;1003,98;37,86;100
2024-03-02T16:21:54-04:00;29,82;78,53;1003,98;38,12;100
2024-03-02T16:22:24-04:00;29,7;79,02;1003,98;38,49;100
2024-03-02T16:22:54-04:00;29,61;79,32;1003,98;38,39;100
2024-03-02T16:23:24-04:00;29,54;79,4;1003,99;38,46;100
2024-03-02T16:23:54-04:00;29,46;79,5;1003,99;38,69;100
2024-03-02T16:24:24-04:00;29,41;79,74;1003,99;38,72;100
2024-03-02T16:24:54-04:00;29,36;79,87;1004,01;38,9;100
2024-03-02T16:25:24-04:00;29,31;80,12;1004,01;38,96;100
2024-03-02T16:25:54-04:00;29,25;80,33;1004,01;39;100
2024-03-02T16:26:24-04:00;29,2;80,49;1004,01;38,96;100
